,id,agent_serial,device_type,reading,unit,time_of_reading,time_of_create
28479,4218910,dca63282ba98,light,382.98,lux,2023-10-03 11:00:01,2023-10-03 11:00:09
28483,4218914,dca63282b98f,light,258.64,lux,2023-10-03 11:00:01,2023-10-03 11:00:10
28485,4218916,dca63282b8d2,light,158.11,lux,2023-10-03 11:00:02,2023-10-03 11:00:11
28486,4218917,dca63282b9da,light,149.15,lux,2023-10-03 11:00:02,2023-10-03 11:00:11
28493,4218924,dca63282b9da,light,148.44,lux,2023-10-03 11:01:01,2023-10-03 11:01:10
28494,4218925,dca63282b98f,light,257.06,lux,2023-10-03 11:01:01,2023-10-03 11:01:10
28495,4218926,dca63282ba98,light,380.71,lux,2023-10-03 11:01:02,2023-10-03 11:01:10
28496,4218927,dca63282b8d2,light,155.92,lux,2023-10-03 11:01:02,2023-10-03 11:01:10
28498,4218929,dca63282b98f,light,258.04,lux,2023-10-03 11:02:02,2023-10-03 11:02:10
28500,4218931,dca63282b9da,light,148.93,lux,2023-10-03 11:02:01,2023-10-03 11:02:10
28502,4218933,dca63282ba98,light,381.09,lux,2023-10-03 11:02:02,2023-10-03 11:02:10
28505,4218936,dca63282b8d2,light,156.8,lux,2023-10-03 11:02:02,2023-10-03 11:02:10
28510,4218941,dca63282b9da,light,148.87,lux,2023-10-03 11:03:01,2023-10-03 11:03:10
28511,4218942,dca63282b98f,light,257.61,lux,2023-10-03 11:03:02,2023-10-03 11:03:10
28513,4218944,dca63282ba98,light,381.98,lux,2023-10-03 11:03:02,2023-10-03 11:03:11
28514,4218945,dca63282b8d2,light,156.25,lux,2023-10-03 11:03:02,2023-10-03 11:03:11
28518,4218949,dca63282b8d2,light,154.35,lux,2023-10-03 11:04:01,2023-10-03 11:04:10
28520,4218951,dca63282b9da,light,147.6,lux,2023-10-03 11:04:02,2023-10-03 11:04:10
28521,4218952,dca63282b98f,light,256.25,lux,2023-10-03 11:04:02,2023-10-03 11:04:10
28523,4218954,dca63282ba98,light,376.99,lux,2023-10-03 11:04:02,2023-10-03 11:04:11
28528,4218959,dca63282ba98,light,373.32,lux,2023-10-03 11:05:01,2023-10-03 11:05:10
28529,4218960,dca63282b98f,light,255.11,lux,2023-10-03 11:05:02,2023-10-03 11:05:10
28530,4218961,dca63282b9da,light,147.26,lux,2023-10-03 11:05:02,2023-10-03 11:05:10
28531,4218962,dca63282b8d2,light,154.03,lux,2023-10-03 11:05:01,2023-10-03 11:05:11
28535,4218966,dca63282b8d2,light,155.35,lux,2023-10-03 11:06:01,2023-10-03 11:06:10
28537,4218968,dca63282b98f,light,255.82,lux,2023-10-03 11:06:02,2023-10-03 11:06:10
28538,4218969,dca63282b9da,light,148.24,lux,2023-10-03 11:06:02,2023-10-03 11:06:11
28541,4218972,dca63282ba98,light,373.49,lux,2023-10-03 11:06:02,2023-10-03 11:06:11
28542,4218973,dca63282b98f,light,256.94,lux,2023-10-03 11:07:02,2023-10-03 11:07:10
28544,4218975,dca63282b8d2,light,155.58,lux,2023-10-03 11:07:01,2023-10-03 11:07:10
28546,4218977,dca63282ba98,light,375.81,lux,2023-10-03 11:07:01,2023-10-03 11:07:10
28549,4218980,dca63282b9da,light,147.98,lux,2023-10-03 11:07:02,2023-10-03 11:07:11
28554,4218985,dca63282b98f,light,258.39,lux,2023-10-03 11:08:02,2023-10-03 11:08:10
28556,4218987,dca63282ba98,light,378.65,lux,2023-10-03 11:08:02,2023-10-03 11:08:11
28557,4218988,dca63282b8d2,light,154.82,lux,2023-10-03 11:08:02,2023-10-03 11:08:11
28559,4218990,dca63282b9da,light,148.32,lux,2023-10-03 11:08:02,2023-10-03 11:08:11
28564,4218995,dca63282b98f,light,262.58,lux,2023-10-03 11:09:02,2023-10-03 11:09:10
28566,4218997,dca63282b9da,light,149.62,lux,2023-10-03 11:09:01,2023-10-03 11:09:11
28567,4218998,dca63282b8d2,light,156.39,lux,2023-10-03 11:09:02,2023-10-03 11:09:12
28568,4218999,dca63282ba98,light,383.8,lux,2023-10-03 11:09:02,2023-10-03 11:09:14
28571,4219002,dca63282ba98,light,389.51,lux,2023-10-03 11:10:01,2023-10-03 11:10:10
28575,4219006,dca63282b98f,light,265.72,lux,2023-10-03 11:10:02,2023-10-03 11:10:11
28576,4219007,dca63282b9da,light,150.58,lux,2023-10-03 11:10:02,2023-10-03 11:10:11
28577,4219008,dca63282b8d2,light,157.63,lux,2023-10-03 11:10:02,2023-10-03 11:10:11
28582,4219013,dca63282b8d2,light,158.0,lux,2023-10-03 11:11:02,2023-10-03 11:11:10
28584,4219015,dca63282ba98,light,392.52,lux,2023-10-03 11:11:02,2023-10-03 11:11:10
28585,4219016,dca63282b9da,light,151.25,lux,2023-10-03 11:11:02,2023-10-03 11:11:11
28586,4219017,dca63282b98f,light,269.16,lux,2023-10-03 11:11:02,2023-10-03 11:11:11
28590,4219021,dca63282b9da,light,150.25,lux,2023-10-03 11:12:01,2023-10-03 11:12:10
28591,4219022,dca63282b98f,light,268.16,lux,2023-10-03 11:12:01,2023-10-03 11:12:10
28592,4219023,dca63282b8d2,light,157.76,lux,2023-10-03 11:12:01,2023-10-03 11:12:10
28595,4219026,dca63282ba98,light,392.23,lux,2023-10-03 11:12:02,2023-10-03 11:12:11
28598,4219029,dca63282b9da,light,149.59,lux,2023-10-03 11:13:01,2023-10-03 11:13:10
28599,4219030,dca63282b8d2,light,157.41,lux,2023-10-03 11:13:01,2023-10-03 11:13:10
28600,4219031,dca63282b98f,light,264.8,lux,2023-10-03 11:13:01,2023-10-03 11:13:10
28602,4219033,dca63282ba98,light,390.86,lux,2023-10-03 11:13:02,2023-10-03 11:13:11
28607,4219038,dca63282b9da,light,148.32,lux,2023-10-03 11:14:01,2023-10-03 11:14:10
28610,4219041,dca63282b98f,light,263.79,lux,2023-10-03 11:14:01,2023-10-03 11:14:10
28611,4219042,dca63282ba98,light,392.18,lux,2023-10-03 11:14:02,2023-10-03 11:14:10
28613,4219044,dca63282b8d2,light,157.57,lux,2023-10-03 11:14:01,2023-10-03 11:14:12
28617,4219048,dca63282b9da,light,149.07,lux,2023-10-03 11:15:02,2023-10-03 11:15:10
28620,4219051,dca63282ba98,light,397.52,lux,2023-10-03 11:15:02,2023-10-03 11:15:11
28621,4219052,dca63282b8d2,light,157.39,lux,2023-10-03 11:15:02,2023-10-03 11:15:11
28622,4219053,dca63282b98f,light,267.19,lux,2023-10-03 11:15:02,2023-10-03 11:15:12
28625,4219056,dca63282b8d2,light,158.57,lux,2023-10-03 11:16:01,2023-10-03 11:16:10
28628,4219059,dca63282b9da,light,150.24,lux,2023-10-03 11:16:02,2023-10-03 11:16:10
28629,4219060,dca63282ba98,light,405.33,lux,2023-10-03 11:16:02,2023-10-03 11:16:11
28630,4219061,dca63282b98f,light,269.2,lux,2023-10-03 11:16:02,2023-10-03 11:16:11
28635,4219066,dca63282b9da,light,150.94,lux,2023-10-03 11:17:02,2023-10-03 11:17:11
28636,4219067,dca63282b98f,light,272.87,lux,2023-10-03 11:17:02,2023-10-03 11:17:11
28637,4219068,dca63282b8d2,light,159.65,lux,2023-10-03 11:17:02,2023-10-03 11:17:11
28638,4219069,dca63282ba98,light,410.43,lux,2023-10-03 11:17:02,2023-10-03 11:17:11
28643,4219074,dca63282b8d2,light,159.57,lux,2023-10-03 11:18:02,2023-10-03 11:18:11
28644,4219075,dca63282ba98,light,413.94,lux,2023-10-03 11:18:02,2023-10-03 11:18:11
28645,4219076,dca63282b9da,light,151.57,lux,2023-10-03 11:18:02,2023-10-03 11:18:11
28646,4219077,dca63282b98f,light,272.52,lux,2023-10-03 11:18:02,2023-10-03 11:18:11
28651,4219082,dca63282b98f,light,274.01,lux,2023-10-03 11:19:02,2023-10-03 11:19:11
28652,4219083,dca63282b9da,light,151.69,lux,2023-10-03 11:19:02,2023-10-03 11:19:11
28653,4219084,dca63282ba98,light,416.99,lux,2023-10-03 11:19:02,2023-10-03 11:19:11
28654,4219085,dca63282b8d2,light,160.73,lux,2023-10-03 11:19:02,2023-10-03 11:19:11
28657,4219088,dca63282b8d2,light,161.71,lux,2023-10-03 11:20:01,2023-10-03 11:20:10
28658,4219089,dca63282b9da,light,153.01,lux,2023-10-03 11:20:01,2023-10-03 11:20:10
28661,4219092,dca63282b98f,light,273.98,lux,2023-10-03 11:20:02,2023-10-03 11:20:11
28662,4219093,dca63282ba98,light,415.15,lux,2023-10-03 11:20:01,2023-10-03 11:20:11
28666,4219097,dca63282b9da,light,151.76,lux,2023-10-03 11:21:01,2023-10-03 11:21:10
28668,4219099,dca63282b8d2,light,158.18,lux,2023-10-03 11:21:01,2023-10-03 11:21:11
28669,4219100,dca63282ba98,light,411.0,lux,2023-10-03 11:21:02,2023-10-03 11:21:12
28670,4219101,dca63282b98f,light,271.58,lux,2023-10-03 11:21:02,2023-10-03 11:21:12
28674,4219105,dca63282b98f,light,264.77,lux,2023-10-03 11:22:01,2023-10-03 11:22:10
28675,4219106,dca63282b9da,light,149.33,lux,2023-10-03 11:22:02,2023-10-03 11:22:10
28677,4219108,dca63282b8d2,light,157.83,lux,2023-10-03 11:22:02,2023-10-03 11:22:12
28678,4219109,dca63282ba98,light,401.94,lux,2023-10-03 11:22:02,2023-10-03 11:22:16
28682,4219113,dca63282ba98,light,356.15,lux,2023-10-03 11:23:01,2023-10-03 11:23:10
28683,4219114,dca63282b9da,light,145.91,lux,2023-10-03 11:23:02,2023-10-03 11:23:10
28684,4219115,dca63282b8d2,light,148.72,lux,2023-10-03 11:23:02,2023-10-03 11:23:11
28686,4219117,dca63282b98f,light,245.63,lux,2023-10-03 11:23:02,2023-10-03 11:23:11
28689,4219120,dca63282ba98,light,204.65,lux,2023-10-03 11:24:01,2023-10-03 11:24:10
28691,4219122,dca63282b98f,light,164.72,lux,2023-10-03 11:24:02,2023-10-03 11:24:10
28692,4219123,dca63282b9da,light,118.8,lux,2023-10-03 11:24:02,2023-10-03 11:24:11
