,id,agent_serial,device_type,reading,average,samples,unit,time_of_reading,time_of_create
28479,4218910,dca63282ba98,microphone,822,334.12,59,dB,2023-10-03 11:00:01,2023-10-03 11:00:09
28483,4218914,dca63282b98f,microphone,977,282.1,60,dB,2023-10-03 11:00:01,2023-10-03 11:00:10
28485,4218916,dca63282b8d2,microphone,760,357.07,61,dB,2023-10-03 11:00:02,2023-10-03 11:00:11
28486,4218917,dca63282b9da,microphone,1259,281.98,60,dB,2023-10-03 11:00:02,2023-10-03 11:00:11
28493,4218924,dca63282b9da,microphone,536,277.14,59,dB,2023-10-03 11:01:01,2023-10-03 11:01:10
28494,4218925,dca63282b98f,microphone,401,264.2,60,dB,2023-10-03 11:01:01,2023-10-03 11:01:10
28495,4218926,dca63282ba98,microphone,540,313.46,61,dB,2023-10-03 11:01:02,2023-10-03 11:01:10
28496,4218927,dca63282b8d2,microphone,698,334.67,60,dB,2023-10-03 11:01:02,2023-10-03 11:01:10
28498,4218929,dca63282b98f,microphone,422,224.28,61,dB,2023-10-03 11:02:02,2023-10-03 11:02:10
28500,4218931,dca63282b9da,microphone,603,233.83,60,dB,2023-10-03 11:02:01,2023-10-03 11:02:10
28502,4218933,dca63282ba98,microphone,467,223.78,59,dB,2023-10-03 11:02:02,2023-10-03 11:02:10
28505,4218936,dca63282b8d2,microphone,686,221.98,59,dB,2023-10-03 11:02:02,2023-10-03 11:02:10
28510,4218941,dca63282b9da,microphone,392,237.83,60,dB,2023-10-03 11:03:01,2023-10-03 11:03:10
28511,4218942,dca63282b98f,microphone,379,226.05,60,dB,2023-10-03 11:03:02,2023-10-03 11:03:10
28513,4218944,dca63282ba98,microphone,528,242.34,61,dB,2023-10-03 11:03:02,2023-10-03 11:03:11
28514,4218945,dca63282b8d2,microphone,603,257.21,61,dB,2023-10-03 11:03:02,2023-10-03 11:03:11
28518,4218949,dca63282b8d2,microphone,632,333.97,59,dB,2023-10-03 11:04:01,2023-10-03 11:04:10
28520,4218951,dca63282b9da,microphone,1214,284.7,60,dB,2023-10-03 11:04:02,2023-10-03 11:04:10
28521,4218952,dca63282b98f,microphone,528,257.73,59,dB,2023-10-03 11:04:02,2023-10-03 11:04:10
28523,4218954,dca63282ba98,microphone,567,309.4,60,dB,2023-10-03 11:04:02,2023-10-03 11:04:11
28528,4218959,dca63282ba98,microphone,724,285.53,59,dB,2023-10-03 11:05:01,2023-10-03 11:05:10
28529,4218960,dca63282b98f,microphone,1270,265.35,60,dB,2023-10-03 11:05:02,2023-10-03 11:05:10
28530,4218961,dca63282b9da,microphone,1513,275.25,60,dB,2023-10-03 11:05:02,2023-10-03 11:05:10
28531,4218962,dca63282b8d2,microphone,710,291.43,60,dB,2023-10-03 11:05:01,2023-10-03 11:05:11
28535,4218966,dca63282b8d2,microphone,528,274.85,60,dB,2023-10-03 11:06:01,2023-10-03 11:06:10
28537,4218968,dca63282b98f,microphone,1240,268.37,60,dB,2023-10-03 11:06:02,2023-10-03 11:06:10
28538,4218969,dca63282b9da,microphone,1633,286.68,60,dB,2023-10-03 11:06:02,2023-10-03 11:06:11
28541,4218972,dca63282ba98,microphone,642,263.33,61,dB,2023-10-03 11:06:02,2023-10-03 11:06:11
28542,4218973,dca63282b98f,microphone,553,246.72,60,dB,2023-10-03 11:07:02,2023-10-03 11:07:10
28544,4218975,dca63282b8d2,microphone,509,263.0,59,dB,2023-10-03 11:07:01,2023-10-03 11:07:10
28546,4218977,dca63282ba98,microphone,467,256.0,59,dB,2023-10-03 11:07:01,2023-10-03 11:07:10
28549,4218980,dca63282b9da,microphone,649,268.61,61,dB,2023-10-03 11:07:02,2023-10-03 11:07:11
28554,4218985,dca63282b98f,microphone,352,213.8,61,dB,2023-10-03 11:08:02,2023-10-03 11:08:10
28556,4218987,dca63282ba98,microphone,490,218.47,60,dB,2023-10-03 11:08:02,2023-10-03 11:08:11
28557,4218988,dca63282b8d2,microphone,485,214.62,61,dB,2023-10-03 11:08:02,2023-10-03 11:08:11
28559,4218990,dca63282b9da,microphone,366,215.97,60,dB,2023-10-03 11:08:02,2023-10-03 11:08:11
28564,4218995,dca63282b98f,microphone,349,239.15,59,dB,2023-10-03 11:09:02,2023-10-03 11:09:10
28566,4218997,dca63282b9da,microphone,461,247.34,59,dB,2023-10-03 11:09:01,2023-10-03 11:09:11
28567,4218998,dca63282b8d2,microphone,525,296.47,60,dB,2023-10-03 11:09:02,2023-10-03 11:09:12
28568,4218999,dca63282ba98,microphone,538,284.68,60,dB,2023-10-03 11:09:02,2023-10-03 11:09:14
28571,4219002,dca63282ba98,microphone,720,293.27,60,dB,2023-10-03 11:10:01,2023-10-03 11:10:10
28575,4219006,dca63282b98f,microphone,963,252.03,60,dB,2023-10-03 11:10:02,2023-10-03 11:10:11
28576,4219007,dca63282b9da,microphone,1516,283.4,60,dB,2023-10-03 11:10:02,2023-10-03 11:10:11
28577,4219008,dca63282b8d2,microphone,586,283.6,60,dB,2023-10-03 11:10:02,2023-10-03 11:10:11
28582,4219013,dca63282b8d2,microphone,595,260.1,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:10
28584,4219015,dca63282ba98,microphone,517,256.92,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:10
28585,4219016,dca63282b9da,microphone,395,242.43,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:11
28586,4219017,dca63282b98f,microphone,377,230.03,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:11
28590,4219021,dca63282b9da,microphone,932,268.12,59,dB,2023-10-03 11:12:01,2023-10-03 11:12:10
28591,4219022,dca63282b98f,microphone,711,255.57,60,dB,2023-10-03 11:12:01,2023-10-03 11:12:10
28592,4219023,dca63282b8d2,microphone,664,294.6,60,dB,2023-10-03 11:12:01,2023-10-03 11:12:10
28595,4219026,dca63282ba98,microphone,597,293.68,60,dB,2023-10-03 11:12:02,2023-10-03 11:12:11
28598,4219029,dca63282b9da,microphone,392,232.28,60,dB,2023-10-03 11:13:01,2023-10-03 11:13:10
28599,4219030,dca63282b8d2,microphone,521,254.51,59,dB,2023-10-03 11:13:01,2023-10-03 11:13:10
28600,4219031,dca63282b98f,microphone,371,222.17,60,dB,2023-10-03 11:13:01,2023-10-03 11:13:10
28602,4219033,dca63282ba98,microphone,494,243.03,60,dB,2023-10-03 11:13:02,2023-10-03 11:13:11
28607,4219038,dca63282b9da,microphone,695,248.98,60,dB,2023-10-03 11:14:01,2023-10-03 11:14:10
28610,4219041,dca63282b98f,microphone,926,240.59,59,dB,2023-10-03 11:14:01,2023-10-03 11:14:10
28611,4219042,dca63282ba98,microphone,550,277.97,60,dB,2023-10-03 11:14:02,2023-10-03 11:14:10
28613,4219044,dca63282b8d2,microphone,519,263.97,60,dB,2023-10-03 11:14:01,2023-10-03 11:14:12
28617,4219048,dca63282b9da,microphone,527,253.32,60,dB,2023-10-03 11:15:02,2023-10-03 11:15:10
28620,4219051,dca63282ba98,microphone,568,283.27,60,dB,2023-10-03 11:15:02,2023-10-03 11:15:11
28621,4219052,dca63282b8d2,microphone,595,288.03,61,dB,2023-10-03 11:15:02,2023-10-03 11:15:11
28622,4219053,dca63282b98f,microphone,372,232.25,61,dB,2023-10-03 11:15:02,2023-10-03 11:15:12
28625,4219056,dca63282b8d2,microphone,675,311.85,59,dB,2023-10-03 11:16:01,2023-10-03 11:16:10
28628,4219059,dca63282b9da,microphone,487,253.48,61,dB,2023-10-03 11:16:02,2023-10-03 11:16:10
28629,4219060,dca63282ba98,microphone,636,295.42,60,dB,2023-10-03 11:16:02,2023-10-03 11:16:11
28630,4219061,dca63282b98f,microphone,398,242.57,60,dB,2023-10-03 11:16:02,2023-10-03 11:16:11
28635,4219066,dca63282b9da,microphone,620,280.18,60,dB,2023-10-03 11:17:02,2023-10-03 11:17:11
