,id,agent_serial,device_type,reading,unit,time_of_reading,time_of_create
28479,4218910,dca63282ba98,thermometer,32.2,celsius,2023-10-03 11:00:01,2023-10-03 11:00:09
28483,4218914,dca63282b98f,thermometer,32.39,celsius,2023-10-03 11:00:01,2023-10-03 11:00:10
28485,4218916,dca63282b8d2,thermometer,32.87,celsius,2023-10-03 11:00:02,2023-10-03 11:00:11
28486,4218917,dca63282b9da,thermometer,32.14,celsius,2023-10-03 11:00:02,2023-10-03 11:00:11
28493,4218924,dca63282b9da,thermometer,32.14,celsius,2023-10-03 11:01:01,2023-10-03 11:01:10
28494,4218925,dca63282b98f,thermometer,32.57,celsius,2023-10-03 11:01:01,2023-10-03 11:01:10
28495,4218926,dca63282ba98,thermometer,32.17,celsius,2023-10-03 11:01:02,2023-10-03 11:01:10
28496,4218927,dca63282b8d2,thermometer,32.94,celsius,2023-10-03 11:01:02,2023-10-03 11:01:10
28498,4218929,dca63282b98f,thermometer,32.64,celsius,2023-10-03 11:02:02,2023-10-03 11:02:10
28500,4218931,dca63282b9da,thermometer,32.28,celsius,2023-10-03 11:02:01,2023-10-03 11:02:10
28502,4218933,dca63282ba98,thermometer,32.22,celsius,2023-10-03 11:02:02,2023-10-03 11:02:10
28505,4218936,dca63282b8d2,thermometer,32.97,celsius,2023-10-03 11:02:02,2023-10-03 11:02:10
28510,4218941,dca63282b9da,thermometer,32.37,celsius,2023-10-03 11:03:01,2023-10-03 11:03:10
28511,4218942,dca63282b98f,thermometer,32.68,celsius,2023-10-03 11:03:02,2023-10-03 11:03:10
28513,4218944,dca63282ba98,thermometer,32.31,celsius,2023-10-03 11:03:02,2023-10-03 11:03:11
28514,4218945,dca63282b8d2,thermometer,33.05,celsius,2023-10-03 11:03:02,2023-10-03 11:03:11
28518,4218949,dca63282b8d2,thermometer,33.09,celsius,2023-10-03 11:04:01,2023-10-03 11:04:10
28520,4218951,dca63282b9da,thermometer,32.44,celsius,2023-10-03 11:04:02,2023-10-03 11:04:10
28521,4218952,dca63282b98f,thermometer,32.71,celsius,2023-10-03 11:04:02,2023-10-03 11:04:10
28523,4218954,dca63282ba98,thermometer,32.4,celsius,2023-10-03 11:04:02,2023-10-03 11:04:11
28528,4218959,dca63282ba98,thermometer,32.44,celsius,2023-10-03 11:05:01,2023-10-03 11:05:10
28529,4218960,dca63282b98f,thermometer,32.66,celsius,2023-10-03 11:05:02,2023-10-03 11:05:10
28530,4218961,dca63282b9da,thermometer,32.49,celsius,2023-10-03 11:05:02,2023-10-03 11:05:10
28531,4218962,dca63282b8d2,thermometer,33.13,celsius,2023-10-03 11:05:01,2023-10-03 11:05:11
28535,4218966,dca63282b8d2,thermometer,33.17,celsius,2023-10-03 11:06:01,2023-10-03 11:06:10
28537,4218968,dca63282b98f,thermometer,32.7,celsius,2023-10-03 11:06:02,2023-10-03 11:06:10
28538,4218969,dca63282b9da,thermometer,32.56,celsius,2023-10-03 11:06:02,2023-10-03 11:06:11
28541,4218972,dca63282ba98,thermometer,32.46,celsius,2023-10-03 11:06:02,2023-10-03 11:06:11
