,month,day,hour,minute,reading
0,10,3,11,0,954.5
1,10,3,11,1,543.75
2,10,3,11,2,544.5
3,10,3,11,3,475.5
4,10,3,11,4,735.25
5,10,3,11,5,1054.25
6,10,3,11,6,1010.75
7,10,3,11,7,544.5
8,10,3,11,8,423.25
9,10,3,11,9,468.25
10,10,3,11,10,946.25
11,10,3,11,11,471.0
12,10,3,11,12,726.0
13,10,3,11,13,444.5
14,10,3,11,14,672.5
15,10,3,11,15,515.5
16,10,3,11,16,549.0
17,10,3,11,17,704.25
18,10,3,11,18,720.5
19,10,3,11,19,469.5
20,10,3,11,20,519.75
21,10,3,11,21,657.0
22,10,3,11,22,850.75
23,10,3,11,23,597.25
24,10,3,11,24,531.75
25,10,3,11,25,412.25
26,10,3,11,26,365.75
27,10,3,11,27,496.75
28,10,3,11,28,506.0
29,10,3,11,29,478.75
30,10,3,11,30,418.5
31,10,3,11,31,425.75
32,10,3,11,32,378.5
33,10,3,11,33,371.75
34,10,3,11,34,428.5
35,10,3,11,35,729.75
36,10,3,11,36,566.5
37,10,3,11,37,527.25
38,10,3,11,38,324.25
39,10,3,11,39,494.75
40,10,3,11,40,321.5
41,10,3,11,41,424.0
42,10,3,11,42,365.0
43,10,3,11,43,312.75
44,10,3,11,44,315.5
45,10,3,11,45,361.25
46,10,3,11,46,1044.25
47,10,3,11,47,764.0
48,10,3,11,48,1123.5
49,10,3,11,49,987.75
50,10,3,11,50,719.5
51,10,3,11,51,714.75
52,10,3,11,52,440.25
53,10,3,11,53,323.0
54,10,3,11,54,279.75
55,10,3,11,55,501.0
56,10,3,11,56,587.5
57,10,3,11,57,510.25
58,10,3,11,58,553.0
59,10,3,11,59,406.5
