,month,day,hour,minute,reading
0,10,3,11,0,32.4
1,10,3,11,1,32.455
2,10,3,11,2,32.5275
3,10,3,11,3,32.6025
4,10,3,11,4,32.66
5,10,3,11,5,32.68
6,10,3,11,6,32.722500000000004
7,10,3,11,7,32.74
8,10,3,11,8,32.81
9,10,3,11,9,32.832499999999996
10,10,3,11,10,32.905
11,10,3,11,11,32.9675
12,10,3,11,12,33.015
13,10,3,11,13,33.042500000000004
14,10,3,11,14,33.0875
15,10,3,11,15,33.08
16,10,3,11,16,33.097500000000004
17,10,3,11,17,33.1475
18,10,3,11,18,33.16
19,10,3,11,19,33.230000000000004
20,10,3,11,20,33.255
21,10,3,11,21,33.3025
22,10,3,11,22,33.3425
23,10,3,11,23,33.405
24,10,3,11,24,33.4125
25,10,3,11,25,33.480000000000004
26,10,3,11,26,33.5075
27,10,3,11,27,33.535
28,10,3,11,28,33.55
29,10,3,11,29,33.59
30,10,3,11,30,33.644999999999996
31,10,3,11,31,33.6675
32,10,3,11,32,33.6275
33,10,3,11,33,33.645
34,10,3,11,34,33.615
35,10,3,11,35,33.6875
36,10,3,11,36,33.7025
37,10,3,11,37,33.745000000000005
38,10,3,11,38,33.7475
39,10,3,11,39,33.769999999999996
40,10,3,11,40,33.7875
41,10,3,11,41,33.8
42,10,3,11,42,33.8525
43,10,3,11,43,33.8425
44,10,3,11,44,33.83
45,10,3,11,45,33.8875
46,10,3,11,46,33.9275
47,10,3,11,47,33.965
48,10,3,11,48,33.945
49,10,3,11,49,33.93
50,10,3,11,50,33.9275
51,10,3,11,51,33.96
52,10,3,11,52,33.9625
53,10,3,11,53,33.9775
54,10,3,11,54,34.0
55,10,3,11,55,34.0175
56,10,3,11,56,34.0375
57,10,3,11,57,34.09
58,10,3,11,58,34.11333333333334
59,10,3,11,59,34.0975
